architecture,model_key,seed,epochs,precision,map50,map50_95,checkpoint_sha256,public_checkpoint,reason
EsMoE,v10,0,30,amp,0.16273,0.08474,64d8c53b001b3db57fb38a1686d5896087f06be898a22e5a75cbd0ae297bd2e0,false,metadata-only; checkpoint binary not included
EsMoE,v10,1,30,amp,0.15606,0.08137,39561c585c98081c3c6f8297074cdafe7225a7e8878727fb2fac4bb61d6305d3,false,metadata-only; checkpoint binary not included
EsMoE,v10,2,30,amp,0.16124,0.08493,4b805479ceb38d0c2cde0662a258f381c0fa0f506b20a08b50b9c0d72c7c09a2,false,metadata-only; checkpoint binary not included
MoA,v10_moa,0,30,amp,0.15844,0.08164,9d939680ac80d802a5d46eab8d5262990af2d7991936edccb64a8316fda2978c,false,metadata-only; checkpoint binary not included
MoT,v10_mot,0,30,fp32,0.16189,0.08469,ec18580cdafe91b49684007c1391b759a5612c2733bd6d5c0009d2e5b3117bda,false,metadata-only; checkpoint binary not included
MoT,v10_mot,1,30,fp32,0.15701,0.08056,fd9a959f34fcc4c75db71f3ecb91dd7c43afa162a4664b5a136cd44453da3b97,false,metadata-only; checkpoint binary not included
MoT,v10_mot,2,30,fp32,0.16176,0.08392,fa9ed0cd300ea2f2ec2eb2b506d668c7710f4d0f2d26217d6c0978ea1acab858,false,metadata-only; checkpoint binary not included
MoT,v10_mot,3,30,fp32,0.16364,0.08457,b2e2dcd75497ae47430b2b17ac9c7514e3847930d7b49374723eefcb591e4dce,false,metadata-only; checkpoint binary not included
MoT,v10_mot,4,30,fp32,0.15753,0.08182,43a7a6d20a84782d9078312e9030210086eac2a8d0cad9d1457b9c6beaa37ad7,false,metadata-only; checkpoint binary not included
