seed_a,seed_b,dominant_agreement,token_top1_agreement,js_divergence
0,1,0.531250000000,0.448121744792,0.000082821737
0,2,0.427083333333,0.410830078125,0.000007700993
0,3,0.750000000000,0.554527994792,0.000043377447
0,4,0.427083333333,0.414485677083,0.000038743978
1,2,0.583333333333,0.415940755208,0.000057720334
1,3,0.494791666667,0.380826822917,0.000039887443
1,4,0.729166666667,0.587174479167,0.000020178958
2,3,0.375000000000,0.330771484375,0.000028717820
2,4,0.546875000000,0.429449869792,0.000019129383
3,4,0.395833333333,0.381484375000,0.000016042318
